"n_distributor_id","name","vdt","vno","items"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106434,"10022_,3818_,883_,9917_,3421_,43236_,19923_,5372_,1414_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106435,"25736_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106436,"15340_,42279_,21049_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106437,"33596_,33588_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106438,"40627_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106439,"32346_,19867_,30954_,9461_,14302_,23465_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106440,"496_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106441,"88_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106442,"19754_,2367_,35881_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106443,"1418_,40487_,5370_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106444,"39312_,10085_,9003_,26187_,14447_,2479_,40784_,29742_,5246_,5245_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106445,"23255_,35906_,6073_,35331_,17542_,39403_,34663_,12225_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106446,"14432_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106447,"41345_,13756_,34504_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106448,"36792_,8785_,9177_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106449,"26260_,30614_,33491_,18728_,42852_,10665_"
34553,Ashirwad Distributors - Nagpur,2023-01-06,106450,"40526_,17335_,3211_,28650_,2410_,8780_,8962_,14098_,8554_,2260_,31754_,29742_,23113_,16149_,23749_"
